prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
3556,BI-TB-869-48,LL LL Road Rear Wheel - Blue- 48,2224.0,M ,2024-02-08,
4587,CO-TF-473-44,LL HL Mountain Tire - Blue- 44,3289.0,S ,2017-06-07,
2522,CL-SO-805-42,ML Hitch Rack - White- 42,3319.0,S ,2019-09-23,2020-05-31
1968,CO-CH-449-58,LL LL Mountain Frame - White- 58,2301.0,R ,2021-11-07,2026-08-10
4401,AC-BS-376-44,LL LL Road Front Wheel - Silver- 44,879.0,M ,2013-10-20,
1945,AC-HP-765-60,HL AWC Logo Cap - Blue- 60,535.0,R ,2015-03-11,2014-07-04
2122,CO-BR-815-60,ML Sport - White- 60,2870.0,R ,2020-08-04,
2839,AC-PU-946-44,LL Front Derailleur - Yellow- 44,857.0,M ,2017-03-11,
1655,AC-LO-699-52,HL ML Road Pedal - White- 52,3478.0,,2018-01-11,
5049,CL-SH-226-62,ML Long - Red- 62,332.0,R ,2024-11-19,2027-02-18
893,AC-CL-473-38,LL ML Road Frame - Yellow- 38,3019.0,M ,2022-05-06,2024-01-28
4274,AC-LI-433-52,ML LL Touring Seat/Saddle - Black- 52,1993.0,M ,2019-08-22,
1212,CO-DE-531-38,HL Rear Derailleur - Blue- 38,1301.0,T ,2023-11-17,
1099,CL-TI-434-52,LL ML Fork - Silver- 52,2014.0,M ,2018-02-27,
355,AC-HP-868-48,HL HL Fork - Silver- 48,1983.0,T ,2019-07-11,2023-12-15
2686,CO-FO-818-60,LL Short - Black- 60,,S ,2019-07-06,2021-12-21
4648,CL-SO-949-60,LL Half - Yellow- 60,1668.0,R ,2021-05-30,
4853,CO-BB-882-38,LL ML Mountain Frame - Yellow- 38,1237.0,R ,2019-12-24,
4433,CL-SH-832-52,ML Touring Pedal - White- 52,607.0,R ,2023-10-12,2028-01-27
6024,CO-CS-664-42,LL HL Bottom Bracket - Blue- 42,2773.0,S ,2015-01-11,
6307,CO-BB-683-58,ML Mountain Bike Socks - White- 58,,S ,2024-09-22,
1665,CO-RF-787-58,ML ML Road Seat/Saddle - Silver- 58,1037.0,T ,2014-09-19,2018-03-30
5635,BI-TB-954-42,HL Fender Set - White- 42,3207.0,T ,2018-10-11,
2709,CL-BS-301-52,LL HL Mountain Tire - Black- 52,513.0,,2021-04-06,2025-05-26
3622,BI-MB-399-38,HL Touring Pedal - Yellow- 38,3223.0,T ,2013-12-28,
458,AC-LI-755-42,HL Women's Mountain Shorts - Red- 42,,T ,2011-04-17,
6887,AC-BS-559-58,HL Mountain - Red- 58,,M ,2024-02-13,2026-05-22
890,BI-MB-218-42,HL Touring Pedal - Red- 42,3335.0,T ,2015-04-18,2018-10-11
1400,CO-BR-582-60,LL HL Fork - Black- 60,2320.0,S ,2011-10-26,
2273,CO-PD-218-48,LL LL Road Tire - Black- 48,2761.0,S ,2016-11-17,
4048,AC-HP-795-62,HL Cable Lock - Red- 62,217.0,S ,2024-12-11,2026-09-12
6182,CL-TI-827-58,HL ML Road Seat/Saddle - White- 58,2546.0,M ,2019-12-30,2023-03-10
5228,CO-RF-356-52,ML Front Derailleur - Silver- 52,47.0,M ,2012-02-10,
3935,CO-HB-690-48,LL HL Road Front Wheel - White- 48,1842.0,T ,2023-06-06,
5594,BI-RB-266-62,ML ML Road Rear Wheel - Yellow- 62,442.0,,2015-01-16,2017-04-19
6639,BI-TB-909-62,ML HL Road Seat/Saddle - Black- 62,,R ,2019-12-03,
5165,BI-TB-662-60,HL LL Road Seat/Saddle - White- 60,2809.0,M ,2023-08-11,
5445,AC-PA-613-48,HL Front Derailleur - White- 48,1372.0,T ,2013-01-29,
3699,AC-LI-444-58,ML Patch Kit/8 Patches - White- 58,98.0,R ,2023-05-01,
313,CO-MF-916-58,HL ML Crankset - Red- 58,1136.0,S ,2021-03-31,
5600,CO-HB-318-58,HL Taillights - Blue- 58,638.0,T ,2014-09-29,
3032,CO-CS-874-44,HL ML Headset - Blue- 44,1188.0,S ,2014-01-11,
1757,AC-FE-798-60,HL LL Mountain Tire - White- 60,580.0,T ,2024-09-11,
2840,AC-HE-232-60,HL Cable Lock - Black- 60,-50.0,S ,2021-02-21,
794,BI-MB-718-42,ML HL Mountain Frame - Blue- 42,459.0,S ,2012-12-20,
5795,AC-CL-767-60,LL LL Crankset - Blue- 60,2525.0,R ,2024-11-12,
911,BI-TB-116-38,ML ML Mountain Front Wheel - White- 38,742.0,T ,2016-05-22,2019-08-23
579,CO-FO-685-44,LL ML Touring Seat/Saddle - Yellow- 44,1652.0,R ,2013-07-14,
5772,CO-SA-774-48,HL LL Road Front Wheel - Yellow- 48,1486.0,T ,2022-03-26,
6300,CO-HB-485-48,HL LL Road Tire - Yellow- 48,,S ,2015-03-17,
4449,CO-TF-758-48,LL ML Mountain Front Wheel - Yellow- 48,1610.0,S ,2014-11-05,
595,AC-PA-593-58,HL ML Bottom Bracket - White- 58,53.0,,2012-07-08,
3701,CO-CS-778-52,LL LL Mountain Tire - White- 52,3349.0,M ,2017-12-17,2022-01-12
5270,BI-MB-334-38,LL Full - Black- 38,,S ,2023-12-30,2026-06-22
2116,CL-BS-794-44,ML HL Road Seat/Saddle - Blue- 44,2085.0,M ,2011-07-31,2013-11-25
546,AC-LO-521-48,ML LL Mountain Rear Wheel - Black- 48,138.0,M ,2016-02-03,
5911,CO-BR-310-42,LL Mountain Bike Socks - Silver- 42,780.0,M ,2024-10-05,2028-01-18
1087,AC-BR-830-58,ML HL Headset - White- 58,2309.0,R ,2017-08-09,
1616,BI-MB-904-42,HL ML Road Handlebars - Blue- 42,3074.0,R ,2024-07-15,2028-04-30
1913,CO-DE-105-48,LL HL Road Front Wheel - Silver- 48,14.0,S ,2011-04-21,2014-02-26
4682,AC-LO-244-48,ML ML Road Rear Wheel - White- 48,1750.0,R ,2019-06-27,2022-02-05
1277,AC-LI-381-60,LL Mountain - Silver- 60,592.0,R ,2015-12-07,
4747,CL-GL-721-58,HL ML Crankset - Yellow- 58,2531.0,S ,2023-09-09,2024-10-09
5433,AC-HE-814-44,ML ML Mountain Pedal - Yellow- 44,,R ,2014-11-26,
3196,AC-HE-519-44,ML LL Road Frame - Yellow- 44,3489.0,S ,2020-10-29,
4112,CL-SH-462-42,ML Sport - Red- 42,24.0,S ,2021-06-25,
1754,AC-PA-885-38,ML LL Touring Seat/Saddle - Red- 38,2395.0,S ,2017-12-25,2021-10-31
827,CO-HS-640-52,HL Mountain Bike Socks - Red- 52,1909.0,R ,2023-08-24,2026-12-14
2112,CO-WH-903-44,HL LL Mountain Handlebars - Yellow- 44,2156.0,T ,2015-01-07,
1567,CO-BB-608-42,HL Taillights - White- 42,1050.0,T ,2014-06-07,
1482,AC-FE-837-38,HL Front Derailleur - Black- 38,3056.0,T ,2013-02-11,
213,CO-DE-312-60,HL HL Mountain Tire - Black- 60,1193.0,M ,2022-02-03,2023-05-14
5103,CL-JE-216-38,LL ML Mountain Pedal - White- 38,1779.0,S ,2016-10-25,
2621,AC-HE-643-60,ML HL Mountain Tire - Silver- 60,634.0,M ,2014-08-01,2018-12-16
3385,AC-HE-378-44,LL Road Bottle Cage - Yellow- 44,3108.0,T ,2024-12-05,
4448,BI-RB-173-60,LL HL Road Rear Wheel - Yellow- 60,2056.0,S ,2014-11-23,2018-08-04
3212,AC-BC-479-42,HL LL Mountain Rear Wheel - Yellow- 42,388.0,T ,2020-07-25,2023-11-18
1903,CO-CS-377-60,LL Classic Vest - Red- 60,,,2020-12-22,2024-05-30
5362,CO-HB-798-44,HL LL Mountain Handlebars - Yellow- 44,2350.0,S ,2019-03-24,
3370,AC-FE-356-44,LL HL Mountain Front Wheel - Yellow- 44,280.0,M ,2018-10-27,
601,CO-DE-652-60,LL LL Bottom Bracket - Black- 60,3229.0,M ,2011-09-30,
2428,AC-PA-737-48,LL Touring - Silver- 48,2849.0,R ,2018-12-18,2020-06-29
3779,AC-FE-255-52,ML ML Bottom Bracket - Blue- 52,3254.0,T ,2019-11-21,2023-12-19
3915,CO-WH-898-38,LL HL Road Rear Wheel - Red- 38,2909.0,M ,2021-05-17,
4888,CO-DE-862-52,ML LL Mountain Seat/Saddle - White- 52,1312.0,S ,2019-01-27,
