CID,BDATE,GEN
NASAW00011000,1964-02-28,M
NASAW00011001,2001-12-11,
NASAW00011002,1961-11-24,f 
NASAW00011003,1962-05-30,F
NASAW00011004,1979-03-31,f 
NASAW00011005,1980-11-20,f 
NASAW00011006,1821-11-07,F
NASAW00011007,1962-07-23,f 
NASAW00011008,1975-12-08,Female
NASAW00011009,1979-12-11,f 
NASAW00011010,1989-06-03,MALE
AW00011011,1966-02-12,F
NASAW00011012,1983-12-05,F
NASAW00011013,1962-08-01,m
NASAW00011014,2004-02-19,
NASAW00011015,1968-12-02,
NASAW00011016,1992-02-20,MALE
NASAW00011017,1956-05-20,FEMALE
NASAW00011018,1958-12-10,
NASAW00011019,1991-02-22,M
NASAW00011020,1968-11-05,FEMALE
NASAW00011021,1957-02-03,f 
NASAW00011022,1996-01-24,m
NASAW00011023,1955-01-26,f 
AW00011024,1994-06-21,
NASAW00011025,1973-11-11,MALE
NASAW00011026,1950-10-17,Male
NASAW00011027,1997-05-29,Female
NASAW00011028,2000-09-10,Male
NASAW00011029,1962-08-07,f 
NASAW00011030,1996-08-24,Male
NASAW00011031,1950-02-01,M
NASAW00011032,1988-11-16,Male
NASAW00011033,1973-12-03,F
NASAW00011034,1986-11-30,Male
NASAW00011035,1982-11-25,FEMALE
NASAW00011036,1955-12-12,F
NASAW00011037,2000-07-03,FEMALE
NASAW00011038,2001-09-19,
NASAW00011039,1995-03-13,MALE
NASAW00011040,1971-05-02,MALE
NASAW00011041,1990-11-19,Female
NASAW00011042,1972-12-18,Male
NASAW00011043,1979-02-25,FEMALE
NASAW00011044,1965-03-03,Female
NASAW00011045,1978-12-22,M
NASAW00011046,1956-01-02,FEMALE
NASAW00011047,1977-06-07,
NASAW00011048,1980-12-23,FEMALE
NASAW00011049,1978-12-24,F
NASAW00011050,1974-10-19,m
NASAW00011051,1955-02-09,FEMALE
NASAW00011052,1962-10-07,MALE
NASAW00011053,1996-05-27,M
NASAW00011054,1955-12-27,m
NASAW00011055,1966-01-06,FEMALE
NASAW00011056,1997-04-29,F
NASAW00011057,2001-08-29,Male
NASAW00011058,1983-03-22,MALE
AW00011059,1950-02-17,Female
NASAW00011060,1962-12-30,M
NASAW00011061,1985-08-29,FEMALE
NASAW00011062,1966-05-25,MALE
NASAW00011063,1995-06-14,F
NASAW00011064,1970-06-09,F
NASAW00011065,1957-11-05,Female
NASAW00011066,1960-02-15,Male
NASAW00011067,1992-04-03,m
NASAW00011068,1988-03-05,  
NASAW00011069,1985-05-22,Female
NASAW00011070,1982-08-21,Male
NASAW00011071,1954-07-07,f 
NASAW00011072,1998-02-09,Female
NASAW00011073,1964-11-21,MALE
NASAW00011074,1984-03-23,F
NASAW00011075,1963-01-22,Female
NASAW00011076,1971-10-15,MALE
NASAW00011077,1963-07-10,Male
NASAW00011078,1970-05-10,f 
NASAW00011079,1970-01-09,
NASAW00011080,1986-06-24,  
NASAW00011081,1967-05-31,MALE
NASAW00011082,1976-11-07,Male
NASAW00011083,2002-05-09,Female
