CID,CNTRY
AW-00011000,United Kingdom
AW-00011001,France
AW-00011002,Australia
AW-00011003,United States
AW-00011004,DE
AW-00011005,U.K.
AW-00011006,
AW-00011007,United States
AW-00011008,United States
AW-00011009,United States
AW-00011010,United Kingdom
AW-00011011,Australia
AW-00011012,DE
AW-00011013,Australia
AW-00011014,Australia
AW-00011015,France
AW-00011016,United States
AW-00011017,Australia
AW-00011018,France
AW-00011019,United States
AW-00011020,Australia
AW-00011021,France
AW-00011022,France
AW-00011023,Germany
AW-00011024,Germany
AW-00011025,United Kingdom
AW-00011026,United States
AW-00011027,United States
AW-00011028,France
AW-00011029,France
AW-00011030,Australia
AW-00011031,Australia
AW-00011032,Germany
AW-00011033,Australia
AW-00011034,Germany
AW-00011035,France
AW-00011036,Australia
AW-00011037,United Kingdom
AW-00011038,Germany
AW-00011039,Canada
AW-00011040,France
AW-00011041,United States
AW-00011042,United States
AW-00011043,Canada
AW-00011044,USA
AW-00011045,United States
AW-00011046,France
AW-00011047,United Kingdom
AW-00011048,United States
AW-00011049,
AW-00011050,United States
AW-00011051,AUS
AW-00011052,United States
AW-00011053,United States
AW-00011054,United Kingdom
AW-00011055,USA
AW-00011056,Germany
AW-00011057,Canada
AW-00011058,US
AW-00011059,Germany
AW-00011060,Canada
AW-00011061,Canada
AW-00011062,France
AW-00011063,France
AW-00011064,Germany
AW-00011065,United Kingdom
AW-00011066,United States
AW-00011067,United Kingdom
AW-00011068,Canada
AW-00011069,Canada
AW-00011070,Germany
AW-00011071,Canada
AW-00011072,France
AW-00011073,France
AW-00011074,United States
AW-00011075,Australia
AW-00011076,US
AW-00011077,France
AW-00011078,Australia
AW-00011079,France
AW-00011080,Canada
AW-00011081,France
AW-00011082,United Kingdom
AW-00011083,Australia
AW-00011084,United States
AW-00011085,Germany
AW-00011086,Australia
AW-00011087,United States
AW-00011088,Australia
AW-00011089,Australia
AW-00011090,United States
AW-00011091,United Kingdom
AW-00011092,us
AW-00011093,United Kingdom
AW-00011094,United Kingdom
AW-00011095,United Kingdom
AW-00011096,United States
AW-00011097,AUS
AW-00011098,Germany
AW-00011099,Canada
AW-00011100,United Kingdom
AW-00011101,US
AW-00011102,France
AW-00011103,Australia
AW-00011104,United Kingdom
AW-00011105,DE
AW-00011106,United Kingdom
AW-00011107,
AW-00011108,France
AW-00011109,United States
AW-00011110,Australia
AW-00011111,United Kingdom
AW-00011112,France
AW-00011113,Canada
AW-00011114,United States
AW-00011115,Australia
AW-00011116,Canada
AW-00011117,United States
AW-00011118,United States
AW-00011119,France
AW-00011120,Australia
AW-00011121,France
AW-00011122,France
AW-00011123,United Kingdom
AW-00011124,Canada
AW-00011125,Germany
AW-00011126,Australia
AW-00011127,France
AW-00011128,United States
AW-00011129,United Kingdom
AW-00011130,UK
AW-00011131,Australia
AW-00011132,United Kingdom
AW-00011133,Germany
AW-00011134,United States
AW-00011135,France
AW-00011136,France
AW-00011137,
AW-00011138,AUS
AW-00011139,USA
AW-00011140,Canada
AW-00011141,United States
AW-00011142,United States
AW-00011143,United States
AW-00011144,France
AW-00011145,Australia
AW-00011146,Germany
AW-00011147,France
AW-00011148,United Kingdom
AW-00011149,United Kingdom
AW-00011150,Germany
AW-00011151,Canada
AW-00011152,United Kingdom
AW-00011153,Canada
AW-00011154,United Kingdom
AW-00011155,Canada
AW-00011156,germany
AW-00011157,United Kingdom
AW-00011158,United States
AW-00011159,Australia
AW-00011160,US
AW-00011161,australia
AW-00011162,France
AW-00011163,
AW-00011164,United Kingdom
AW-00011165,Australia
AW-00011166,United Kingdom
AW-00011167,Germany
AW-00011168,USA
